ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.27	0.05	70.99	0.0	0.13
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.08	27.94	19.17	0.0	0.04
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	5.78	1.16	4.88	0.0	2.39
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	6.92	1.38	9.02	0.0	2.81
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.27	0.05	73.28	0.0	0.13
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	0.43	0.08	33.28	0.0	0.19
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.93	0.18	36.9	0.0	0.39
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.0	0.03	2.25	0.0	0.0
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.07	0.0	3.62	0.0	0.03
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	3.61	0.24	13.19	0.0	1.45
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	16.98	3.4	479.33	0.0	6.8
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	Other	0.37	373.72	0.0	0.0	0.18
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.15	148.89	0.0	0.0	0.0
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.32	0.06	57.0	0.0	0.14
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.09	30.79	27.87	0.0	0.04
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	14.23	2.85	4.57	0.0	5.39
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	15.41	3.08	8.97	0.0	5.74
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.27	0.05	62.08	0.0	0.11
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	0.32	0.06	24.72	0.0	0.13
