ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.19	0.04	31.24	0.0	0.07
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.05	17.52	4.23	0.0	0.02
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	9.37	1.87	1.47	0.0	3.68
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	12.0	2.4	2.58	0.0	4.75
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.25	0.05	38.83	0.0	0.09
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	0.65	0.13	32.77	0.0	0.23
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	1.54	0.31	22.52	0.0	0.56
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.0	0.02	1.18	0.0	0.0
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.11	0.01	3.59	0.0	0.04
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	7.53	0.5	5.77	0.0	2.78
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	30.32	6.06	440.2	0.0	11.64
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	Other	0.4	397.64	0.0	0.0	0.14
2000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	reportonly	500	total_time	0.06	57.74	0.0	0.0	0.0
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.11	0.02	22.1	0.0	0.06
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.04	12.75	3.56	0.0	0.02
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	10.83	2.16	0.61	0.0	3.81
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	13.97	2.8	2.23	0.0	5.08
2000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.1	0.02	30.97	0.0	0.03
