ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	10.6	2.12	176.08	5000.0	3.88
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.86	286.49	12.17	3.0	0.32
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	49.81	9.96	21.56	5000.0	18.56
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comp:histo	33.13	6.63	24.88	5000.0	12.32
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	2.1	0.42	120.1	5000.0	0.78
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	4.14	0.83	46.1	5000.0	1.54
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	14.85	2.97	68.61	5000.0	5.5
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.02	0.2	156.65	99.0	0.01
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:conversion	1.6	0.16	43.29	10000.0	0.6
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	69.61	4.64	70.21	15000.0	25.8
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:sync	80.8	16.16	289.39	5000.0	28.93
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	Other	4.72	4719.21	0.0	1.0	1.75
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	total_time	272.24	272240.3	0.0	1.0	100.0
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	10.26	2.05	101.49	5000.0	4.33
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.77	255.08	9.02	3.0	0.33
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	39.66	7.93	10.39	5000.0	17.31
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	26.59	5.32	11.49	5000.0	11.62
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	2.0	0.4	27.34	5000.0	0.87
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	3.85	0.77	17.87	5000.0	1.68
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	12.87	2.57	19.61	5000.0	5.6
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.01	0.16	21.46	99.0	0.01
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	1.33	0.13	15.75	10000.0	0.58
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	63.43	4.23	21.76	15000.0	27.59
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	74.31	14.86	159.51	5000.0	28.33
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	Other	4.03	4031.58	0.0	1.0	1.76
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total_time	239.12	239121.25	0.0	1.0	100.0
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	12.76	2.55	81.46	5000.0	4.85
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	comm:gather	1.02	341.66	7.2	3.0	0.39
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	38.48	7.7	7.51	5000.0	14.64
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	comp:histo	24.65	4.93	7.72	5000.0	9.38
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	2.29	0.46	40.04	5000.0	0.87
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	3.66	0.73	14.96	5000.0	1.39
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	17.78	3.56	11.57	5000.0	6.76
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.02	0.16	14.37	99.0	0.01
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	serial:conversion	1.31	0.13	10.12	10000.0	0.5
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	88.0	5.87	8.25	15000.0	33.46
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	serial:sync	69.02	13.8	139.8	5000.0	26.22
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	Other	4.07	4072.62	0.0	1.0	1.55
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	total_time	263.08	263075.06	0.0	1.0	100.0
2000000	72	1408	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	16.84	3.37	76.83	5000.0	5.65
2000000	72	1408	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	comm:gather	1.1	366.85	5.64	3.0	0.37
2000000	72	1408	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	39.62	7.93	8.06	5000.0	13.28
2000000	72	1408	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	comp:histo	24.32	4.86	7.7	5000.0	8.15
2000000	72	1408	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	2.59	0.52	31.26	5000.0	0.87
2000000	72	1408	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	3.78	0.75	23.08	5000.0	1.27
2000000	72	1408	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	22.41	4.48	12.55	5000.0	7.51
2000000	72	1408	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.02	0.17	19.39	99.0	0.01
2000000	72	1408	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	serial:conversion	1.46	0.15	12.07	10000.0	0.49
2000000	72	1408	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	108.46	7.23	9.04	15000.0	36.37
2000000	72	1408	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	serial:sync	73.28	14.66	185.81	5000.0	24.54
2000000	72	1408	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	Other	4.47	4474.95	0.0	1.0	1.5
2000000	72	1408	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	total_time	298.34	298336.96	0.0	1.0	100.0
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	25.74	5.15	40.57	5000.0	5.98
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	comm:gather	1.53	509.09	3.53	3.0	0.36
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	40.43	8.08	7.84	5000.0	9.4
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	comp:histo	23.1	4.62	7.42	5000.0	5.37
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	3.16	0.63	24.57	5000.0	0.74
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	3.81	0.76	11.3	5000.0	0.88
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	40.2	8.04	6.48	5000.0	9.35
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.02	0.23	16.19	99.0	0.01
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	serial:conversion	1.3	0.13	16.79	10000.0	0.3
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	197.17	13.14	4.47	15000.0	45.84
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	serial:sync	88.4	17.68	127.8	5000.0	20.5
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	Other	5.49	5491.54	0.0	1.0	1.27
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	total_time	430.35	430354.62	0.0	1.0	100.0
