ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	1.77	0.36	37.67	0.0	0.22
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.09	31.44	5.63	0.0	0.06
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	4.46	0.89	6.14	0.0	2.59
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comp:histo	2.27	0.45	6.95	0.0	1.35
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.15	0.03	39.02	0.0	0.05
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	0.12	0.02	18.26	0.0	0.17
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	1.05	0.21	21.85	0.0	0.35
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.0	0.02	50.78	0.0	0.0
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.03	0.0	5.89	0.0	0.07
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	4.68	0.31	24.72	0.0	1.76
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial:sync	27.16	5.43	31.81	0.0	5.95
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	Other	0.26	256.41	0.0	0.0	0.14
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	total_time	36.93	36933.58	0.0	0.0	0.0
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	1.9	0.38	63.06	0.0	0.17
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.01	3.26	2.04	0.0	0.07
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	1.41	0.28	5.08	0.0	3.16
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	1.5	0.3	4.88	0.0	2.18
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.1	0.02	16.72	0.0	0.14
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	0.14	0.03	12.47	0.0	0.3
