ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comp	82.95	30.88	24.21	41.43	5.98
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comm	11.45	4.2	3.74	4.91	0.43
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial	173.12	63.16	52.84	70.39	5.96
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	other	4.72	1.75	1.57	2.0	0.15
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	total	272.24	100.0	100.0	100.0	0.0
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp	66.25	28.93	26.24	39.94	4.47
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm	11.03	4.67	4.18	5.74	0.48
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial	157.81	64.65	52.49	67.67	4.86
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	other	4.03	1.76	1.63	2.23	0.15
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total	239.12	100.0	100.0	100.0	0.0
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	comp	63.14	24.01	22.24	32.62	2.81
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	comm	13.78	5.24	4.97	5.68	0.19
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	serial	182.08	69.21	60.25	71.15	2.94
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	other	4.07	1.55	1.44	2.1	0.13
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	total	263.08	100.0	100.0	100.0	0.0
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	comp	63.52	14.77	14.24	19.62	0.89
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	comm	27.26	6.34	5.52	6.87	0.32
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	serial	334.08	77.62	72.4	78.57	0.99
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	other	5.49	1.27	1.13	1.6	0.1
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	total	430.35	100.0	100.0	100.0	0.0
