ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comp	6.43	3.88	2.83	4.74	1.11
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	comm	1.73	0.19	0.38	0.39	0.26
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	serial	33.0	3.98	4.87	2.98	1.11
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	other	0.26	0.14	0.17	0.11	0.05
2000000	72	1408	5000	8	8	20	1	50	0	0	mvapich2	reportonly	500	total	36.93	0.0	0.0	0.0	0.0
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp	2.88	5.33	5.04	5.57	0.95
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm	1.91	0.23	0.65	1.22	0.54
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial	52.75	5.86	4.58	5.97	0.82
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	other	0.13	0.3	0.31	0.1	0.09
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total	55.17	0.0	0.0	0.0	0.0
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	comp	0.62	0.48	0.41	0.32	0.36
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	comm	0.48	0.22	0.17	0.35	0.05
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	serial	3.88	0.62	0.46	0.63	0.35
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	other	0.03	0.02	0.03	0.22	0.04
2000000	72	1408	5000	32	8	5	1	50	0	0	mvapich2	reportonly	500	total	3.29	0.0	0.0	0.0	0.0
2000000	72	1408	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	comp	1.04	0.37	0.26	0.54	0.51
2000000	72	1408	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	comm	0.48	0.18	0.18	0.29	0.04
2000000	72	1408	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	serial	4.87	0.41	0.32	0.64	0.55
2000000	72	1408	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	other	0.04	0.04	0.02	0.09	0.02
2000000	72	1408	5000	40	8	4	1	50	0	0	mvapich2	reportonly	500	total	5.36	0.0	0.0	0.0	0.0
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	comp	0.35	0.32	0.26	0.68	0.27
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	comm	0.21	0.07	0.07	0.17	0.04
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	serial	7.55	0.39	0.72	0.28	0.29
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	other	0.05	0.02	0.03	0.03	0.01
2000000	72	1408	5000	80	8	2	1	50	0	0	mvapich2	reportonly	500	total	7.54	0.0	0.0	0.0	0.0
