ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	reportonly	500	comm:gather	33.17	11056.49	128.74	3.0	17.89
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	reportonly	500	comp:LIKick	37.95	7.59	8.67	5000.0	21.22
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	reportonly	500	comp:histo	24.66	4.93	7.03	5000.0	13.77
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	reportonly	500	serial:RFVCalc	1.92	0.38	23.68	5000.0	1.08
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	3.77	0.75	11.36	5000.0	2.11
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	reportonly	500	serial:beam_spectrum_gen	12.36	2.47	12.41	5000.0	6.91
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	reportonly	500	serial:binShift	0.01	0.15	24.69	99.0	0.01
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	reportonly	500	serial:indVolt1Turn	61.42	4.09	13.96	15000.0	34.36
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	reportonly	500	serial:scale_histo	0.94	0.19	89.71	5000.0	0.53
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	reportonly	500	Other	3.81	3804.62	0.0	1.0	2.13
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	reportonly	500	total_time	180.01	180007.87	0.0	1.0	100.0
