ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm:allreduce	0.4	0.08	14.69	0.0	0.16
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm:gather	0.03	8.5	0.51	0.0	0.01
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm:redistribute	0.12	11.56	26.65	0.0	0.06
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm:sendrecv	0.02	0.0	2.01	0.0	0.01
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comp:LIKick	0.57	0.11	2.57	0.0	0.16
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comp:histo	0.67	0.14	2.45	0.0	0.19
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:RFVCalc	0.07	0.01	67.07	0.0	0.04
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:beam_phase_sharpWindow	0.11	0.02	2.83	0.0	0.04
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:binShift	0.0	0.0	6.55	0.0	0.0
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:conversion	0.01	0.0	0.91	0.0	0.01
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:sync	1.79	0.18	6.08	0.0	0.48
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	Other	0.02	23.58	0.0	0.0	0.02
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	total_time	3.05	3046.78	0.0	0.0	0.0
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:beam_spectrum_gen	0.11	0.02	13.01	0.0	0.08
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:indVolt1Turn	0.43	0.03	3.44	0.0	0.37
