ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
4000000	288	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comp	2958.89	92.01	91.32	92.7	0.58
4000000	288	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comm	34.8	1.08	1.01	1.14	0.05
4000000	288	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial	218.32	6.79	6.11	7.44	0.56
4000000	288	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	other	3.82	0.12	0.08	0.16	0.04
4000000	288	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	total	3215.84	100.0	100.0	100.0	0.0
4000000	288	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comp	1481.03	86.73	85.06	88.48	1.51
4000000	288	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comm	41.26	2.42	2.3	2.54	0.08
4000000	288	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	serial	181.59	10.63	8.93	12.25	1.48
4000000	288	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	other	3.77	0.22	0.15	0.3	0.07
4000000	288	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	total	1707.64	100.0	100.0	100.0	0.0
4000000	288	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comp	745.8	77.06	74.0	80.44	2.78
4000000	288	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm	56.23	5.81	5.68	5.93	0.07
4000000	288	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial	162.09	16.74	13.44	19.64	2.69
4000000	288	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	other	3.74	0.39	0.25	0.55	0.12
4000000	288	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	total	967.86	100.0	100.0	100.0	0.0
4000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comp	386.79	58.53	53.36	63.87	4.48
4000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comm	107.81	16.26	15.75	16.77	0.29
4000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	interval	500	serial	162.9	24.62	19.66	29.38	4.29
4000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	interval	500	other	3.9	0.59	0.37	0.91	0.2
4000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	interval	500	total	661.4	100.0	100.0	100.0	0.0
4000000	288	1408	5000	64	32	10	1	50	0	0	mvapich2	interval	500	comp	195.56	43.48	35.75	50.89	6.64
4000000	288	1408	5000	64	32	10	1	50	0	0	mvapich2	interval	500	comm	90.4	20.06	19.74	20.33	0.16
4000000	288	1408	5000	64	32	10	1	50	0	0	mvapich2	interval	500	serial	160.36	35.64	28.57	42.94	6.38
4000000	288	1408	5000	64	32	10	1	50	0	0	mvapich2	interval	500	other	3.73	0.83	0.52	1.19	0.27
4000000	288	1408	5000	64	32	10	1	50	0	0	mvapich2	interval	500	total	450.05	100.0	100.0	100.0	0.0
