ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
3000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comm:allreduce	3.66	0.73	40.34	5000.0	1.1
3000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comm:gather	0.8	265.07	17.54	3.0	0.24
3000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comm:redistribute	0.86	85.59	78.18	10.0	0.26
3000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comm:sendrecv	1.01	0.2	9.53	5000.0	0.31
3000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comp:LIKick	124.81	24.96	8.3	5000.0	37.7
3000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comp:histo	79.29	15.86	9.81	5000.0	23.94
3000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:RFVCalc	1.46	0.29	22.47	5000.0	0.44
3000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:beam_phase_sharpWindow	3.39	0.68	5.82	5000.0	1.03
3000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:binShift	0.02	0.19	15.34	99.0	0.01
3000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:conversion	0.84	0.08	9.23	10000.0	0.25
3000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:sync	78.58	7.86	105.34	10000.0	23.7
3000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	Other	2.39	2385.54	0.0	1.0	0.72
3000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	total_time	331.21	331212.45	0.0	1.0	100.0
3000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:beam_spectrum_gen	12.67	2.53	133.4	5000.0	3.83
3000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial:indVolt1Turn	60.43	4.03	10.18	15000.0	18.26
3000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comm:allreduce	7.31	1.46	111.56	5000.0	1.92
3000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comm:gather	1.37	456.4	13.79	3.0	0.36
3000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comm:redistribute	1.0	100.35	78.49	10.0	0.26
3000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comm:sendrecv	1.64	0.33	8.89	5000.0	0.43
3000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comp:LIKick	133.84	26.77	8.4	5000.0	35.25
3000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comp:histo	92.07	18.41	12.74	5000.0	24.23
3000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	serial:RFVCalc	1.9	0.38	41.02	5000.0	0.5
3000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	serial:beam_phase_sharpWindow	3.91	0.78	15.4	5000.0	1.03
3000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	serial:binShift	0.01	0.17	40.33	99.0	0.0
3000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	serial:conversion	1.35	0.14	13.58	10000.0	0.36
3000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	serial:sync	96.4	9.64	122.58	10000.0	25.28
3000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	Other	3.26	3257.65	0.0	1.0	0.86
3000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	total_time	380.24	380242.3	0.0	1.0	100.0
3000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	serial:beam_spectrum_gen	13.34	2.67	31.85	5000.0	3.51
3000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	serial:indVolt1Turn	64.83	4.32	24.33	15000.0	17.06
3000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm:allreduce	36.17	7.23	143.08	5000.0	8.53
3000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm:gather	2.27	755.98	12.06	3.0	0.54
3000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm:redistribute	0.86	86.22	76.81	10.0	0.2
3000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm:sendrecv	2.82	0.57	5.61	5000.0	0.67
3000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comp:LIKick	136.38	27.28	5.99	5000.0	32.32
3000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comp:histo	104.45	20.89	7.28	5000.0	24.75
3000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:RFVCalc	2.49	0.5	31.5	5000.0	0.59
3000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:beam_phase_sharpWindow	4.61	0.92	6.86	5000.0	1.09
3000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:binShift	0.02	0.21	13.95	99.0	0.0
3000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:conversion	2.18	0.22	13.35	10000.0	0.52
3000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:sync	93.31	9.33	109.11	10000.0	22.05
3000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	Other	2.86	2863.68	0.0	1.0	0.68
3000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	total_time	422.37	422364.61	0.0	1.0	100.0
3000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:beam_spectrum_gen	13.12	2.62	16.8	5000.0	3.11
3000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial:indVolt1Turn	61.85	4.12	24.07	15000.0	14.66
3000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comm:allreduce	80.48	16.1	124.11	5000.0	14.94
3000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comm:gather	4.56	1517.42	8.3	3.0	0.85
3000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comm:redistribute	0.92	92.13	76.46	10.0	0.17
3000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comm:sendrecv	5.08	1.02	5.97	5000.0	0.94
3000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comp:LIKick	137.58	27.52	5.45	5000.0	25.61
3000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comp:histo	144.58	28.92	9.12	5000.0	26.92
3000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	interval	500	serial:beam_spectrum_gen	12.84	2.57	20.42	5000.0	2.39
3000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	interval	500	serial:binShift	0.03	0.33	9.63	99.0	0.01
3000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	interval	500	serial:conversion	3.92	0.39	23.83	10000.0	0.73
3000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	interval	500	serial:indVolt1Turn	61.84	4.12	14.01	15000.0	11.51
3000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	interval	500	serial:sync	114.19	11.42	101.04	10000.0	21.18
