ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
4000000	288	1408	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comm:allreduce	0.91	0.36	129.08	0.0	0.03
4000000	288	1408	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comm:gather	1.28	427.18	10.25	0.0	0.05
4000000	288	1408	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comm:redistribute	0.94	94.18	9.08	0.0	0.03
4000000	288	1408	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comm:sendrecv	0.07	0.01	3.16	0.0	0.01
4000000	288	1408	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comp:LIKick	33.43	6.69	0.83	0.0	0.39
4000000	288	1408	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comp:histo	12.38	4.95	0.72	0.0	0.32
4000000	288	1408	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial:RFVCalc	0.16	0.03	18.59	0.0	0.0
4000000	288	1408	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial:beam_phase_sharpWindow	0.1	0.02	8.18	0.0	0.01
4000000	288	1408	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial:binShift	0.01	0.08	36.5	0.0	0.0
4000000	288	1408	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial:conversion	0.04	0.01	1.63	0.0	0.0
4000000	288	1408	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial:sync	13.27	1.77	10.48	0.0	0.45
4000000	288	1408	5000	4	2	10	2	50	0	1	mvapich2	interval	500	Other	0.08	80.01	0.0	0.0	0.0
4000000	288	1408	5000	4	2	10	2	50	0	1	mvapich2	interval	500	total_time	54.01	54009.76	0.0	0.0	0.0
4000000	288	1408	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial:beam_spectrum_gen	0.26	0.11	11.84	0.0	0.01
4000000	288	1408	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial:indVolt1Turn	1.28	0.17	54.35	0.0	0.04
