ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
3000000	36	1408	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comp	2.94	0.84	0.85	0.53	0.08
3000000	36	1408	5000	4	2	10	2	50	0	1	mvapich2	interval	500	comm	0.18	0.12	0.1	0.13	0.02
3000000	36	1408	5000	4	2	10	2	50	0	1	mvapich2	interval	500	serial	4.12	0.95	0.65	0.95	0.07
3000000	36	1408	5000	4	2	10	2	50	0	1	mvapich2	interval	500	other	0.01	0.02	0.03	0.02	0.01
3000000	36	1408	5000	4	2	10	2	50	0	1	mvapich2	interval	500	total	6.9	0.0	0.0	0.0	0.0
3000000	72	1408	5000	8	4	10	2	50	0	1	mvapich2	interval	500	comp	0.52	1.84	2.44	1.93	0.14
3000000	72	1408	5000	8	4	10	2	50	0	1	mvapich2	interval	500	comm	0.59	0.15	0.11	0.27	0.06
3000000	72	1408	5000	8	4	10	2	50	0	1	mvapich2	interval	500	serial	6.84	1.72	1.82	2.19	0.09
3000000	72	1408	5000	8	4	10	2	50	0	1	mvapich2	interval	500	other	0.07	0.01	0.03	0.1	0.03
3000000	72	1408	5000	8	4	10	2	50	0	1	mvapich2	interval	500	total	7.69	0.0	0.0	0.0	0.0
3000000	144	1408	5000	16	8	10	2	50	0	1	mvapich2	interval	500	comp	3.55	1.46	1.92	1.3	0.14
3000000	144	1408	5000	16	8	10	2	50	0	1	mvapich2	interval	500	comm	2.67	0.67	0.64	0.73	0.06
3000000	144	1408	5000	16	8	10	2	50	0	1	mvapich2	interval	500	serial	5.57	1.02	0.91	1.51	0.13
3000000	144	1408	5000	16	8	10	2	50	0	1	mvapich2	interval	500	other	0.02	0.02	0.02	0.04	0.01
3000000	144	1408	5000	16	8	10	2	50	0	1	mvapich2	interval	500	total	10.65	0.0	0.0	0.0	0.0
3000000	288	1408	5000	32	16	10	2	50	0	1	mvapich2	interval	500	comp	3.52	1.41	1.31	1.77	0.1
3000000	288	1408	5000	32	16	10	2	50	0	1	mvapich2	interval	500	comm	3.83	0.79	0.63	0.93	0.09
3000000	288	1408	5000	32	16	10	2	50	0	1	mvapich2	interval	500	serial	4.28	0.94	1.13	0.93	0.09
3000000	288	1408	5000	32	16	10	2	50	0	1	mvapich2	interval	500	other	0.02	0.01	0.01	0.04	0.01
3000000	288	1408	5000	32	16	10	2	50	0	1	mvapich2	interval	500	total	7.68	0.0	0.0	0.0	0.0
6000000	288	1408	5000	64	32	10	2	50	0	1	mvapich2	interval	500	comp	3.24	0.31	0.15	0.53	0.04
6000000	288	1408	5000	64	32	10	2	50	0	1	mvapich2	interval	500	comm	2.74	0.47	0.44	0.47	0.0
6000000	288	1408	5000	64	32	10	2	50	0	1	mvapich2	interval	500	serial	0.99	0.27	0.79	0.25	0.04
6000000	288	1408	5000	64	32	10	2	50	0	1	mvapich2	interval	500	other	0.0	0.01	0.01	0.03	0.01
6000000	288	1408	5000	64	32	10	2	50	0	1	mvapich2	interval	500	total	6.69	0.0	0.0	0.0	0.0
