ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comm:gather	0.72	240.83	16.51	3.0	0.48
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comm:redistribute	0.4	39.91	96.72	10.0	0.27
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comm:sendrecv	1.67	0.33	8.77	5000.0	1.1
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comp:LIKick	44.47	8.89	16.56	5000.0	29.3
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comp:histo	31.77	6.35	14.76	5000.0	20.93
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:beam_spectrum_gen	12.1	2.42	29.35	5000.0	7.97
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:binShift	0.01	0.15	24.24	99.0	0.01
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:indVolt1Turn	60.43	4.03	15.92	15000.0	39.85
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:scale_histo	1.02	0.21	158.47	5000.0	0.67
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:sync	30.02	6.01	155.48	5000.0	19.54
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	Other	2.89	2889.26	0.0	1.0	1.9
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	total_time	152.1	152100.74	0.0	1.0	100.0
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:RFVCalc	1.85	0.37	25.45	5000.0	1.22
2000000	72	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:beam_phase_sharpWindow	3.87	0.77	8.81	5000.0	2.55
