ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
4000000	288	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comm:gather	9.49	3164.24	25.17	3.0	0.31
4000000	288	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comm:redistribute	7.21	721.23	95.94	10.0	0.23
4000000	288	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comm:sendrecv	5.22	1.04	15.74	5000.0	0.17
4000000	288	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comp:LIKick	1503.94	300.79	5.19	5000.0	48.34
4000000	288	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comp:histo	1409.01	281.8	7.08	5000.0	45.3
4000000	288	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:RFVCalc	3.77	0.76	27.81	5000.0	0.12
4000000	288	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:beam_phase_sharpWindow	6.64	1.33	11.12	5000.0	0.22
4000000	288	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:binShift	0.04	0.38	10.9	99.0	0.0
4000000	288	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:scale_histo	1.84	0.37	691.04	5000.0	0.06
4000000	288	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:sync	126.79	25.36	245.92	5000.0	4.07
4000000	288	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	Other	3.62	3613.63	0.0	1.0	0.12
4000000	288	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	total_time	3111.22	3111216.42	0.0	1.0	100.0
4000000	288	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:beam_spectrum_gen	13.52	2.7	31.1	5000.0	0.44
4000000	288	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:indVolt1Turn	64.2	4.28	211.06	15000.0	2.06
4000000	288	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comm:gather	6.89	2297.6	13.4	3.0	0.44
4000000	288	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comm:redistribute	3.72	371.84	86.59	10.0	0.24
4000000	288	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comm:sendrecv	5.11	1.02	11.62	5000.0	0.32
4000000	288	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comp:LIKick	735.0	147.0	5.22	5000.0	46.13
4000000	288	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comp:histo	705.51	141.1	7.17	5000.0	44.28
4000000	288	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:RFVCalc	3.82	0.77	31.32	5000.0	0.24
4000000	288	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:beam_phase_sharpWindow	6.6	1.32	14.17	5000.0	0.42
4000000	288	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:binShift	0.04	0.37	47.28	99.0	0.0
4000000	288	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:scale_histo	1.59	0.32	526.94	5000.0	0.1
4000000	288	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:sync	89.11	17.82	196.81	5000.0	5.59
4000000	288	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	Other	3.5	3497.87	0.0	1.0	0.22
4000000	288	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	total_time	1593.48	1593481.32	0.0	1.0	100.0
4000000	288	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:beam_spectrum_gen	13.22	2.64	59.22	5000.0	0.83
4000000	288	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial:indVolt1Turn	62.37	4.16	155.49	15000.0	3.92
4000000	288	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comm:gather	6.17	2055.74	11.0	3.0	0.71
4000000	288	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comm:redistribute	2.02	201.72	83.85	10.0	0.23
4000000	288	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comm:sendrecv	5.03	1.0	11.23	5000.0	0.58
4000000	288	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comp:LIKick	370.73	74.15	6.43	5000.0	42.83
4000000	288	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comp:histo	360.5	72.1	7.73	5000.0	41.65
4000000	288	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:RFVCalc	3.97	0.79	36.48	5000.0	0.46
4000000	288	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:beam_phase_sharpWindow	6.6	1.32	15.72	5000.0	0.76
4000000	288	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:binShift	0.04	0.35	32.81	99.0	0.0
4000000	288	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:scale_histo	1.48	0.3	1009.47	5000.0	0.17
4000000	288	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:sync	73.79	14.76	196.11	5000.0	8.5
4000000	288	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	Other	3.49	3486.16	0.0	1.0	0.4
4000000	288	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	total_time	865.82	865819.54	0.0	1.0	100.0
4000000	288	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:beam_spectrum_gen	13.35	2.67	186.57	5000.0	1.54
4000000	288	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial:indVolt1Turn	61.28	4.08	19.98	15000.0	7.08
4000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comm:gather	6.0	2000.75	8.07	3.0	1.26
4000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comm:redistribute	0.98	98.27	77.61	10.0	0.21
4000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comm:sendrecv	5.02	1.0	6.55	5000.0	1.06
4000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comp:LIKick	187.4	37.48	5.06	5000.0	39.37
4000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comp:histo	185.07	37.01	7.05	5000.0	38.88
4000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial:RFVCalc	3.9	0.78	12.81	5000.0	0.82
4000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial:beam_phase_sharpWindow	6.76	1.35	5.54	5000.0	1.42
4000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial:binShift	0.03	0.33	9.21	99.0	0.01
4000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial:scale_histo	1.16	0.23	56.9	5000.0	0.24
4000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial:sync	44.76	8.95	164.98	5000.0	9.38
4000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	Other	3.44	3433.35	0.0	1.0	0.72
4000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	total_time	476.08	476081.69	0.0	1.0	100.0
4000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial:beam_spectrum_gen	13.06	2.61	112.88	5000.0	2.74
4000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial:indVolt1Turn	60.71	4.05	10.99	15000.0	12.76
4000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comm:gather	5.83	1942.49	12.28	3.0	1.74
4000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comm:redistribute	0.52	52.36	73.66	10.0	0.15
4000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comm:sendrecv	5.07	1.01	6.86	5000.0	1.52
4000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comp:LIKick	95.9	19.18	8.8	5000.0	28.67
4000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comp:histo	98.19	19.64	8.79	5000.0	29.36
4000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	serial:RFVCalc	4.11	0.82	20.29	5000.0	1.23
4000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	serial:beam_phase_sharpWindow	6.83	1.36	10.44	5000.0	2.04
4000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	serial:binShift	0.03	0.35	24.17	99.0	0.01
4000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	serial:scale_histo	1.19	0.24	92.9	5000.0	0.35
4000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	serial:sync	81.93	16.39	197.63	5000.0	24.44
4000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	Other	3.48	3477.62	0.0	1.0	1.04
4000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	total_time	334.65	334649.75	0.0	1.0	100.0
4000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	serial:beam_spectrum_gen	13.01	2.6	58.11	5000.0	3.89
4000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	serial:indVolt1Turn	61.06	4.07	20.2	15000.0	18.26
