ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
4000000	288	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comp	52.03	0.15	0.27	0.24	0.15
4000000	288	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comm	0.39	0.02	0.06	0.06	0.04
4000000	288	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial	7.53	0.15	0.28	0.29	0.19
4000000	288	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	other	0.07	0.0	0.0	0.0	0.0
4000000	288	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	total	58.83	0.0	0.0	0.0	0.0
4000000	288	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comp	12.52	0.47	0.51	0.44	0.04
4000000	288	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comm	0.4	0.02	0.03	0.02	0.02
4000000	288	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial	8.84	0.47	0.46	0.48	0.05
4000000	288	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	other	0.04	0.0	0.0	0.01	0.0
4000000	288	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	total	19.63	0.0	0.0	0.0	0.0
4000000	288	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comp	7.58	1.13	1.16	1.36	0.06
4000000	288	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comm	0.23	0.03	0.04	0.04	0.01
4000000	288	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial	11.82	1.13	1.34	1.17	0.05
4000000	288	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	other	0.04	0.01	0.01	0.02	0.0
4000000	288	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	total	17.24	0.0	0.0	0.0	0.0
4000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comp	7.42	1.44	2.05	1.81	0.08
4000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comm	0.14	0.06	0.07	0.07	0.01
4000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial	8.15	1.47	1.82	1.96	0.08
4000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	other	0.03	0.01	0.01	0.05	0.01
4000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	total	9.65	0.0	0.0	0.0	0.0
4000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comp	2.87	1.71	3.39	2.11	0.21
4000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comm	0.13	0.08	0.09	0.14	0.02
4000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	serial	8.49	1.8	2.17	3.3	0.2
4000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	other	0.01	0.02	0.01	0.1	0.01
4000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	total	7.17	0.0	0.0	0.0	0.0
