ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
3000000	36	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comm:gather	0.15	49.61	10.4	0.0	0.04
3000000	36	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comm:redistribute	0.22	22.04	6.06	0.0	0.06
3000000	36	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comm:sendrecv	0.05	0.01	1.53	0.0	0.02
3000000	36	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comp:LIKick	3.69	0.74	0.94	0.0	1.1
3000000	36	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comp:histo	4.15	0.83	0.94	0.0	0.38
3000000	36	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:RFVCalc	0.17	0.03	9.17	0.0	0.05
3000000	36	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:beam_phase_sharpWindow	0.48	0.09	1.17	0.0	0.13
3000000	36	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:binShift	0.0	0.01	1.08	0.0	0.0
3000000	36	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:scale_histo	0.11	0.02	143.26	0.0	0.02
3000000	36	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:sync	4.68	0.94	48.34	0.0	1.42
3000000	36	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	Other	0.08	73.91	0.0	0.0	0.03
3000000	36	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	total_time	13.99	13992.96	0.0	0.0	0.0
3000000	36	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:beam_spectrum_gen	0.56	0.11	6.19	0.0	0.06
3000000	36	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial:indVolt1Turn	1.64	0.11	9.82	0.0	0.65
3000000	72	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comm:gather	0.09	29.43	5.5	0.0	0.04
3000000	72	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comm:redistribute	0.11	11.05	5.8	0.0	0.03
