ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
3000000	36	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comp	212.31	77.97	65.65	90.92	12.14
3000000	36	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comm	2.81	1.03	0.94	1.1	0.06
3000000	36	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial	55.19	20.2	7.46	32.27	11.92
3000000	36	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	other	2.19	0.81	0.53	1.08	0.25
3000000	36	1408	5000	4	2	10	1	50	0	2	mvapich2	interval	500	total	272.5	100.0	100.0	100.0	0.0
3000000	72	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comp	224.87	76.73	64.91	88.12	11.05
3000000	72	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comm	3.84	1.31	1.19	1.41	0.07
3000000	72	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial	61.76	20.97	9.92	32.42	10.74
3000000	72	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	other	2.89	0.99	0.65	1.38	0.32
3000000	72	1408	5000	8	4	10	1	50	0	2	mvapich2	interval	500	total	293.36	100.0	100.0	100.0	0.0
3000000	144	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comp	239.07	75.49	65.27	86.7	9.85
3000000	144	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comm	5.88	1.86	1.76	1.95	0.05
3000000	144	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial	69.22	21.83	10.88	31.81	9.6
3000000	144	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	other	2.6	0.82	0.54	1.14	0.26
3000000	144	1408	5000	16	8	10	1	50	0	2	mvapich2	interval	500	total	316.77	100.0	100.0	100.0	0.0
3000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comp	284.52	75.53	67.8	83.75	7.25
3000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comm	10.39	2.76	2.52	2.97	0.11
3000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial	78.47	20.8	12.93	28.16	7.01
3000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	other	3.43	0.91	0.59	1.26	0.29
3000000	288	1408	5000	32	16	10	1	50	0	2	mvapich2	interval	500	total	376.81	100.0	100.0	100.0	0.0
6000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comp	283.33	67.09	57.62	74.74	6.51
6000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comm	14.79	3.5	3.16	3.88	0.16
6000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	serial	120.88	28.6	21.35	37.43	6.28
6000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	other	3.43	0.81	0.51	1.22	0.27
6000000	288	1408	5000	64	32	10	1	50	0	2	mvapich2	interval	500	total	422.42	100.0	100.0	100.0	0.0
