ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	9.69	1.94	84.17	5000.0	4.7
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.79	264.35	10.17	3.0	0.39
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:sendrecv	1.64	0.33	7.03	5000.0	0.8
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	44.29	8.86	8.15	5000.0	21.52
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	31.51	6.3	10.14	5000.0	15.29
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	1.83	0.37	27.26	5000.0	0.89
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	3.9	0.78	10.53	5000.0	1.9
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.02	0.16	26.05	99.0	0.01
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	1.33	0.13	13.41	10000.0	0.65
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	74.73	7.47	153.35	10000.0	35.65
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	Other	3.2	3195.89	0.0	1.0	1.55
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total_time	207.19	207194.62	0.0	1.0	100.0
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	12.42	2.48	32.26	5000.0	6.04
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	61.86	4.12	17.34	15000.0	30.07
