ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:allreduce	0.55	0.11	36.63	0.0	0.31
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:gather	0.04	12.98	2.02	0.0	0.03
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm:sendrecv	0.03	0.01	3.63	0.0	0.06
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:LIKick	1.34	0.27	1.61	0.0	1.61
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp:histo	1.57	0.31	2.51	0.0	1.08
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:RFVCalc	0.09	0.02	15.41	0.0	0.08
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_phase_sharpWindow	0.2	0.04	10.21	0.0	0.19
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:binShift	0.0	0.02	26.77	0.0	0.0
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:conversion	0.03	0.0	2.13	0.0	0.06
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:sync	15.17	1.52	59.27	0.0	4.49
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	Other	0.08	77.29	0.0	0.0	0.14
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total_time	17.74	17741.3	0.0	0.0	0.0
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:beam_spectrum_gen	0.31	0.06	19.94	0.0	0.44
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial:indVolt1Turn	1.54	0.1	3.45	0.0	2.23
